Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,891.999,2.127
,,893.427,2.122
,,894.854,2.119
,,896.281,2.116
,,897.708,2.113
,,899.135,2.111
,,900.562,2.109
,,901.990,2.107
,,903.417,2.105
,,904.844,2.104
,,906.271,2.103
,,907.699,2.101
,,909.126,2.101
,,910.553,2.100
,,911.980,2.099
,,913.407,2.099
,,914.835,2.098
,,916.262,2.098
,,917.689,2.097
,,919.116,2.097
,,920.543,2.097
,,921.971,2.096
,,923.398,2.096
,,924.825,2.096
,,926.252,2.096
,,927.679,2.096
,,929.107,2.096
,,930.534,2.095
,,931.961,2.095
,,933.388,2.095
,,934.815,2.095
,,936.242,2.095
,,937.670,2.095
,,939.097,2.095
,,940.524,2.095
,,941.951,2.095
,,943.378,2.095
,,944.806,2.095
,,946.233,2.095
,,947.660,2.095
,,949.087,2.095
,,950.514,2.095
,,951.942,2.095
,,953.369,2.095
,,954.796,2.095
,,956.223,2.095
,,957.650,2.095
,,959.078,2.095
,,960.505,2.095
,,961.932,2.095
,,963.359,2.095
,,964.786,2.095
,,966.214,2.095
,,967.641,2.095
,,969.068,2.095
,,970.495,2.095
,,971.922,2.095
,,973.350,2.095
,,974.777,2.095
,,976.204,2.095
,,977.631,2.095
,,979.058,2.095
,,980.486,2.095
,,981.913,2.095
,,983.340,2.095
,,984.767,2.095
,,986.194,2.095
,,987.622,2.095
,,989.049,2.095
,,990.476,2.095
,,991.903,2.095
,,993.330,2.095
,,994.758,2.095
,,996.185,2.095
,,997.612,2.095
,,999.039,2.095
,,1000.466,2.095
,,1001.894,2.095
,,1003.321,2.095
,,1004.748,2.095
,,1006.175,2.095
,,1007.602,2.095
,,1009.030,2.095
,,1010.457,2.095
,,1011.884,2.095
,,1013.311,2.095
,,1014.738,2.095
,,1016.166,2.095
,,1017.593,2.095
,,1019.020,2.095
,,1020.447,2.095
,,1021.874,2.095
,,1023.302,2.095
,,1024.729,2.095
,,1026.156,2.095
,,1027.583,2.095
,,1029.010,2.095
,,1030.438,2.095
,,1031.865,2.095
,,1033.292,2.095
,,1034.719,2.095
,,1036.146,2.095
,,1037.574,2.095
,,1039.001,2.095
,,1040.428,2.095
,,1041.855,2.095
,,1043.282,2.095
,,1044.710,2.095
,,1046.137,2.095
,,1047.564,2.095
,,1048.991,2.095
,,1050.418,2.095
,,1051.846,2.095
,,1053.273,2.095
,,1054.700,2.095
,,1056.127,2.095
,,1057.554,2.095
,,1058.982,2.095
,,1060.409,2.095
,,1061.836,2.095
,,1063.263,2.095
,,1064.690,2.095
,,1066.118,2.095
,,1067.545,2.095
,,1068.972,2.095
,,1070.399,2.095
,,1071.826,2.095
,,1073.254,2.095
,,1074.681,2.095
,,1076.108,2.095
,,1077.535,2.095
,,1078.962,2.095
,,1080.390,2.095
,,1081.817,2.095
,,1083.244,2.095
,,1084.671,2.095
,,1086.098,2.095
,,1087.526,2.095
,,1088.953,2.095
,,1090.380,2.095
,,1091.807,2.095
,,1093.234,2.095
,,1094.662,2.095
,,1096.089,2.095
,,1097.516,2.095
,,1098.943,2.095
,,1100.370,2.095
,,1101.798,2.095
,,1103.225,2.095
,,1104.652,2.095
,,1106.079,2.095
,,1107.506,2.095
,,1108.934,2.095
,,1110.361,2.095
,,1111.788,2.095
,,1113.215,2.095
,,1114.642,2.095
,,1116.070,2.095
,,1117.497,2.095
,,1118.924,2.095
,,1120.351,2.095
,,1121.778,2.095
,,1123.206,2.095
,,1124.633,2.095
,,1126.060,2.095
,,1127.487,2.095
,,1128.914,2.095
,,1130.342,2.095
,,1131.769,2.095
,,1133.196,2.095
,,1134.623,2.095
,,1136.050,2.095
,,1137.478,2.095
,,1138.905,2.095
,,1140.332,2.095
,,1141.759,2.095
,,1143.186,2.095
,,1144.614,2.095
,,1146.041,2.095
,,1147.468,2.095
,,1148.895,2.095
,,1150.322,2.095
,,1151.750,2.095
,,1153.177,2.095
,,1154.604,2.095
,,1156.031,2.095
,,1157.458,2.095
,,1158.885,2.095
,,1160.313,2.095
,,1161.740,2.095
,,1163.167,2.095
,,1164.594,2.095
,,1166.021,2.095
,,1167.449,2.095
,,1168.876,2.095
,,1170.303,2.095
