Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,408.002,118.876
,,408.870,121.963
,,409.738,125.036
,,410.607,128.089
,,411.475,131.117
,,412.343,134.114
,,413.211,137.075
,,414.079,139.995
,,414.947,142.867
,,415.815,145.687
,,416.683,148.449
,,417.551,151.147
,,418.419,153.776
,,419.287,156.331
,,420.156,158.807
,,421.024,161.197
,,421.892,163.497
,,422.760,165.703
,,423.628,167.809
,,424.496,169.811
,,425.364,171.704
,,426.232,173.484
,,427.100,175.148
,,427.968,176.691
,,428.836,178.110
,,429.705,179.402
,,430.573,180.564
,,431.441,181.592
,,432.309,182.486
,,433.177,183.242
,,434.045,183.859
,,434.913,184.335
,,435.781,184.670
,,436.649,184.862
,,437.517,184.912
,,438.385,184.818
,,439.254,184.582
,,440.122,184.203
,,440.990,183.683
,,441.858,183.023
,,442.726,182.224
,,443.594,181.289
,,444.462,180.219
,,445.330,179.017
,,446.198,177.685
,,447.066,176.227
,,447.934,174.646
,,448.803,172.946
,,449.671,171.131
,,450.539,169.203
,,451.407,167.169
,,452.275,165.031
,,453.143,162.796
,,454.011,160.467
,,454.879,158.050
,,455.747,155.550
,,456.615,152.972
,,457.483,150.320
,,458.352,147.602
,,459.220,144.822
,,460.088,141.985
,,460.956,139.097
,,461.824,136.164
,,462.692,133.191
,,463.560,130.184
,,464.428,127.148
,,465.296,124.088
,,466.164,121.010
,,467.032,117.919
,,467.901,114.820
,,468.769,111.718
,,469.637,108.618
,,470.505,105.525
,,471.373,102.443
,,472.241,99.376
,,473.109,96.330
,,473.977,93.307
,,474.845,90.312
,,475.713,87.349
,,476.581,84.421
,,477.449,81.531
,,478.318,78.682
,,479.186,75.878
,,480.054,73.121
,,480.922,70.413
,,481.790,67.757
,,482.658,65.155
,,483.526,62.608
,,484.394,60.119
,,485.262,57.688
,,486.130,55.318
,,486.999,53.008
,,487.867,50.761
,,488.735,48.576
,,489.603,46.455
,,490.471,44.397
,,491.339,42.403
,,492.207,40.473
,,493.075,38.606
,,493.943,36.803
,,494.811,35.063
,,495.679,33.386
,,496.547,31.770
,,497.416,30.216
,,498.284,28.722
,,499.152,27.288
,,500.020,25.912
,,500.888,24.593
,,501.756,23.331
,,502.624,22.124
,,503.492,20.970
,,504.360,19.868
,,505.228,18.818
,,506.096,17.817
,,506.965,16.865
,,507.833,15.958
,,508.701,15.098
,,509.569,14.280
